Time,Throughput,AvgRTT,PacketLoss,NEP,WBI
0.1,8043515.92,0.0286,2,0.9980,0.0020
0.2,7745487.48,0.0333,2,0.9980,0.0020
0.3,8084987.78,0.0286,2,0.9980,0.0020
0.4,7815720.50,0.0350,3,0.9970,0.0030
0.5,7769173.79,0.0321,1,0.9990,0.0010
0.6,7901152.51,0.0309,4,0.9960,0.0040
0.7,7992544.25,0.0305,2,0.9980,0.0020
0.8,7839785.66,0.0282,4,0.9960,0.0040
0.9,7900281.86,0.0349,1,0.9990,0.0010
1.0,8451376.95,0.0326,1,0.9990,0.0010
1.1,7901977.19,0.0305,3,0.9970,0.0030
1.2,8273495.87,0.0277,4,0.9960,0.0040
1.3,8382048.35,0.0311,3,0.9970,0.0030
1.4,7815554.11,0.0327,3,0.9970,0.0030
1.5,8069386.18,0.0343,2,0.9980,0.0020
1.6,8238617.31,0.0296,2,0.9980,0.0020
1.7,8191731.33,0.0322,2,0.9980,0.0020
1.8,8451918.26,0.0298,4,0.9960,0.0040
1.9,8192334.46,0.0305,4,0.9960,0.0040
2.0,8004132.26,0.0281,2,0.9980,0.0020
2.1,8079397.58,0.0286,3,0.9970,0.0030
2.2,7634913.22,0.0304,2,0.9980,0.0020
2.3,8449449.31,0.0251,4,0.9960,0.0040
2.4,8438795.02,0.0259,3,0.9970,0.0030
2.5,7964896.13,0.0253,1,0.9990,0.0010
2.6,8000892.99,0.0299,3,0.9970,0.0030
2.7,7866554.48,0.0289,3,0.9970,0.0030
2.8,8082338.26,0.0317,1,0.9990,0.0010
2.9,8380243.83,0.0309,3,0.9970,0.0030
3.0,7819027.74,0.0278,1,0.9990,0.0010
3.1,8379997.24,0.0265,2,0.9980,0.0020
3.2,8068137.53,0.0333,4,0.9960,0.0040
3.3,8397500.86,0.0261,3,0.9970,0.0030
3.4,7848602.36,0.0298,1,0.9990,0.0010
3.5,7950790.66,0.0347,3,0.9970,0.0030
3.6,8471371.71,0.0256,1,0.9990,0.0010
3.7,7865664.71,0.0336,1,0.9990,0.0010
3.8,7658458.15,0.0279,4,0.9960,0.0040
3.9,7578764.43,0.0283,4,0.9960,0.0040
4.0,7937404.78,0.0345,3,0.9970,0.0030
4.1,8163933.56,0.0315,1,0.9990,0.0010
4.2,7683612.87,0.0264,4,0.9960,0.0040
4.3,8056949.94,0.0256,4,0.9960,0.0040
4.4,8459037.91,0.0298,1,0.9990,0.0010
4.5,7869410.91,0.0347,2,0.9980,0.0020
4.6,7900593.78,0.0276,4,0.9960,0.0040
4.7,8232358.12,0.0340,3,0.9970,0.0030
4.8,8129320.05,0.0295,1,0.9990,0.0010
4.9,8169884.92,0.0285,2,0.9980,0.0020
5.0,8016592.50,0.0294,4,0.9960,0.0040
5.1,8243284.18,0.0300,3,0.9970,0.0030
5.2,8287035.16,0.0312,2,0.9980,0.0020
5.3,8020725.49,0.0334,2,0.9980,0.0020
5.4,8100535.75,0.0328,4,0.9960,0.0040
5.5,8190480.51,0.0323,3,0.9970,0.0030
5.6,7554313.36,0.0290,2,0.9980,0.0020
5.7,7555434.79,0.0276,3,0.9970,0.0030
5.8,8046653.65,0.0302,3,0.9970,0.0030
5.9,8149409.30,0.0265,4,0.9960,0.0040
6.0,8188481.82,0.0314,1,0.9990,0.0010
6.1,7872309.20,0.0346,3,0.9970,0.0030
6.2,8153045.32,0.0258,3,0.9970,0.0030
6.3,8495851.16,0.0306,4,0.9960,0.0040
6.4,8083011.09,0.0320,1,0.9990,0.0010
6.5,7768648.41,0.0318,2,0.9980,0.0020
6.6,8289778.44,0.0275,1,0.9990,0.0010
6.7,8455137.92,0.0275,4,0.9960,0.0040
6.8,7713760.87,0.0330,4,0.9960,0.0040
6.9,8247968.24,0.0331,3,0.9970,0.0030
7.0,7929325.50,0.0293,1,0.9990,0.0010
7.1,8043968.11,0.0346,2,0.9980,0.0020
7.2,8224954.43,0.0254,1,0.9990,0.0010
7.3,8405121.54,0.0267,3,0.9970,0.0030
7.4,8357882.24,0.0330,2,0.9980,0.0020
7.5,8348061.81,0.0338,4,0.9960,0.0040
7.6,7500040.81,0.0327,2,0.9980,0.0020
7.7,8034124.16,0.0293,3,0.9970,0.0030
7.8,7583358.68,0.0265,2,0.9980,0.0020
7.9,7664022.41,0.0307,1,0.9990,0.0010
8.0,8206279.48,0.0295,2,0.9980,0.0020
8.1,7506772.67,0.0257,3,0.9970,0.0030
8.2,8037145.20,0.0295,4,0.9960,0.0040
8.3,8394873.64,0.0255,2,0.9980,0.0020
8.4,7516160.33,0.0257,4,0.9960,0.0040
8.5,7766969.35,0.0345,2,0.9980,0.0020
8.6,8447993.39,0.0292,3,0.9970,0.0030
8.7,8041543.07,0.0284,1,0.9990,0.0010
8.8,7971027.01,0.0340,2,0.9980,0.0020
8.9,8454329.85,0.0286,4,0.9960,0.0040
9.0,7626893.72,0.0289,4,0.9960,0.0040
9.1,8021888.18,0.0332,2,0.9980,0.0020
9.2,8343816.80,0.0315,2,0.9980,0.0020
9.3,7941680.40,0.0335,2,0.9980,0.0020
9.4,8442870.88,0.0320,1,0.9990,0.0010
9.5,7711139.25,0.0270,4,0.9960,0.0040
9.6,8074407.26,0.0266,4,0.9960,0.0040
9.7,8081797.23,0.0297,2,0.9980,0.0020
9.8,7930227.83,0.0312,2,0.9980,0.0020
9.9,8352641.14,0.0350,1,0.9990,0.0010
10.0,8142661.03,0.0310,1,0.9990,0.0010
