Time,Throughput,AvgRTT,PacketLoss,NEP,WBI
0.1,7819356.12,0.0398,5,0.9950,0.0050
0.2,7298187.03,0.0337,2,0.9980,0.0020
0.3,7290164.24,0.0395,4,0.9960,0.0040
0.4,7698177.62,0.0397,4,0.9960,0.0040
0.5,7845716.17,0.0312,2,0.9980,0.0020
0.6,7139756.06,0.0332,3,0.9970,0.0030
0.7,7936103.15,0.0388,4,0.9960,0.0040
0.8,7294625.07,0.0338,3,0.9970,0.0030
0.9,7261983.40,0.0358,3,0.9970,0.0030
1.0,7563489.96,0.0351,5,0.9950,0.0050
1.1,7462404.04,0.0329,4,0.9960,0.0040
1.2,7828108.22,0.0302,2,0.9980,0.0020
1.3,7464006.80,0.0344,5,0.9950,0.0050
1.4,7034596.81,0.0324,2,0.9980,0.0020
1.5,7151456.80,0.0351,2,0.9980,0.0020
1.6,7323424.53,0.0334,4,0.9960,0.0040
1.7,7855988.57,0.0337,3,0.9970,0.0030
1.8,7033007.92,0.0378,3,0.9970,0.0030
1.9,7963363.63,0.0321,5,0.9950,0.0050
2.0,7718220.81,0.0369,5,0.9950,0.0050
2.1,7756510.17,0.0372,4,0.9960,0.0040
2.2,7162423.07,0.0366,3,0.9970,0.0030
2.3,7793121.75,0.0306,3,0.9970,0.0030
2.4,7600704.31,0.0316,5,0.9950,0.0050
2.5,7902410.23,0.0330,2,0.9980,0.0020
2.6,7783983.14,0.0380,5,0.9950,0.0050
2.7,7893798.64,0.0355,5,0.9950,0.0050
2.8,7176938.62,0.0330,5,0.9950,0.0050
2.9,7671083.37,0.0384,2,0.9980,0.0020
3.0,7380599.36,0.0357,4,0.9960,0.0040
3.1,7091928.51,0.0336,5,0.9950,0.0050
3.2,7170968.96,0.0349,4,0.9960,0.0040
3.3,7117191.42,0.0315,4,0.9960,0.0040
3.4,7395536.68,0.0323,3,0.9970,0.0030
3.5,7106319.15,0.0380,3,0.9970,0.0030
3.6,7738646.47,0.0398,5,0.9950,0.0050
3.7,7771815.54,0.0305,3,0.9970,0.0030
3.8,7834279.88,0.0394,4,0.9960,0.0040
3.9,7633007.80,0.0305,2,0.9980,0.0020
4.0,7357487.78,0.0318,4,0.9960,0.0040
4.1,7092351.53,0.0382,3,0.9970,0.0030
4.2,7828493.31,0.0346,4,0.9960,0.0040
4.3,7112049.19,0.0380,3,0.9970,0.0030
4.4,7558368.73,0.0378,2,0.9980,0.0020
4.5,7519058.28,0.0366,4,0.9960,0.0040
4.6,7380382.99,0.0365,4,0.9960,0.0040
4.7,7222325.83,0.0322,5,0.9950,0.0050
4.8,7318242.88,0.0398,2,0.9980,0.0020
4.9,7378391.74,0.0393,2,0.9980,0.0020
5.0,7038014.95,0.0374,2,0.9980,0.0020
5.1,7667595.83,0.0308,5,0.9950,0.0050
5.2,7779127.73,0.0389,5,0.9950,0.0050
5.3,7603753.91,0.0354,2,0.9980,0.0020
5.4,7231063.83,0.0306,5,0.9950,0.0050
5.5,7997931.98,0.0311,3,0.9970,0.0030
5.6,7970662.85,0.0344,4,0.9960,0.0040
5.7,7006699.15,0.0379,4,0.9960,0.0040
5.8,7189864.34,0.0373,5,0.9950,0.0050
5.9,7919421.92,0.0339,5,0.9950,0.0050
6.0,7835633.92,0.0336,2,0.9980,0.0020
6.1,7181626.73,0.0376,3,0.9970,0.0030
6.2,7461433.41,0.0386,3,0.9970,0.0030
6.3,7155643.37,0.0385,5,0.9950,0.0050
6.4,7448476.81,0.0309,3,0.9970,0.0030
6.5,7148395.89,0.0387,3,0.9970,0.0030
6.6,7115339.34,0.0335,2,0.9980,0.0020
6.7,7494675.14,0.0358,5,0.9950,0.0050
6.8,7549552.56,0.0335,5,0.9950,0.0050
6.9,7477753.04,0.0393,5,0.9950,0.0050
7.0,7913219.03,0.0360,3,0.9970,0.0030
7.1,7580543.46,0.0382,3,0.9970,0.0030
7.2,7887066.34,0.0390,4,0.9960,0.0040
7.3,7214891.46,0.0336,2,0.9980,0.0020
7.4,7137949.65,0.0308,3,0.9970,0.0030
7.5,7507587.03,0.0313,2,0.9980,0.0020
7.6,7272310.58,0.0339,4,0.9960,0.0040
7.7,7121838.96,0.0369,4,0.9960,0.0040
7.8,7487582.19,0.0396,5,0.9950,0.0050
7.9,7725412.42,0.0346,3,0.9970,0.0030
8.0,7838570.52,0.0335,5,0.9950,0.0050
8.1,7738396.94,0.0350,2,0.9980,0.0020
8.2,7928936.88,0.0332,3,0.9970,0.0030
8.3,7740144.27,0.0392,5,0.9950,0.0050
8.4,7522831.77,0.0341,4,0.9960,0.0040
8.5,7492577.38,0.0315,5,0.9950,0.0050
8.6,7583329.52,0.0310,2,0.9980,0.0020
8.7,7399763.85,0.0326,4,0.9960,0.0040
8.8,7567792.19,0.0321,3,0.9970,0.0030
8.9,7718611.32,0.0307,2,0.9980,0.0020
9.0,7401312.68,0.0394,2,0.9980,0.0020
9.1,7106356.09,0.0395,4,0.9960,0.0040
9.2,7569788.52,0.0321,2,0.9980,0.0020
9.3,7829259.39,0.0394,5,0.9950,0.0050
9.4,7565034.75,0.0339,5,0.9950,0.0050
9.5,7916684.24,0.0314,3,0.9970,0.0030
9.6,7942400.61,0.0388,3,0.9970,0.0030
9.7,7705684.82,0.0369,2,0.9980,0.0020
9.8,7925297.85,0.0398,5,0.9950,0.0050
9.9,7954290.19,0.0347,4,0.9960,0.0040
10.0,7135208.45,0.0360,2,0.9980,0.0020
