Time,Throughput,AvgRTT,PacketLoss,NEP,WBI
0.1,9379410.14,0.0116,1,0.9990,0.0010
0.2,9881731.01,0.0172,0,1.0000,0.0000
0.3,9900269.88,0.0146,2,0.9980,0.0020
0.4,9993598.82,0.0157,2,0.9980,0.0020
0.5,9020397.84,0.0134,0,1.0000,0.0000
0.6,9146155.29,0.0108,2,0.9980,0.0020
0.7,9087671.04,0.0145,0,1.0000,0.0000
0.8,9018426.21,0.0105,2,0.9980,0.0020
0.9,9205482.35,0.0153,0,1.0000,0.0000
1.0,9225763.18,0.0112,1,0.9990,0.0010
1.1,9295730.49,0.0163,0,1.0000,0.0000
1.2,9946345.81,0.0159,2,0.9980,0.0020
1.3,9912043.79,0.0140,2,0.9980,0.0020
1.4,9285677.61,0.0192,0,1.0000,0.0000
1.5,9765231.27,0.0184,1,0.9990,0.0010
1.6,9413547.26,0.0167,0,1.0000,0.0000
1.7,9927228.11,0.0160,0,1.0000,0.0000
1.8,9993373.35,0.0158,2,0.9980,0.0020
1.9,9776418.31,0.0178,1,0.9990,0.0010
2.0,9647104.21,0.0152,1,0.9990,0.0010
2.1,9125395.39,0.0172,0,1.0000,0.0000
2.2,9634799.72,0.0126,0,1.0000,0.0000
2.3,9413557.08,0.0155,1,0.9990,0.0010
2.4,9399421.26,0.0117,0,1.0000,0.0000
2.5,9975595.70,0.0169,2,0.9980,0.0020
2.6,9602417.98,0.0153,1,0.9990,0.0010
2.7,9129440.83,0.0159,0,1.0000,0.0000
2.8,9143034.30,0.0186,1,0.9990,0.0010
2.9,9549344.08,0.0186,0,1.0000,0.0000
3.0,9867495.00,0.0126,0,1.0000,0.0000
3.1,9987725.40,0.0128,0,1.0000,0.0000
3.2,9433886.15,0.0158,0,1.0000,0.0000
3.3,9856908.41,0.0185,1,0.9990,0.0010
3.4,9596461.66,0.0146,1,0.9990,0.0010
3.5,9120153.62,0.0160,0,1.0000,0.0000
3.6,9397434.17,0.0150,0,1.0000,0.0000
3.7,9610642.24,0.0131,0,1.0000,0.0000
3.8,9920904.50,0.0167,2,0.9980,0.0020
3.9,9522205.70,0.0121,0,1.0000,0.0000
4.0,9187085.97,0.0175,2,0.9980,0.0020
4.1,9011148.55,0.0110,0,1.0000,0.0000
4.2,9608716.57,0.0118,1,0.9990,0.0010
4.3,9015123.89,0.0149,0,1.0000,0.0000
4.4,9012914.18,0.0147,0,1.0000,0.0000
4.5,9200508.77,0.0139,1,0.9990,0.0010
4.6,9938629.79,0.0115,0,1.0000,0.0000
4.7,9767838.00,0.0148,0,1.0000,0.0000
4.8,9867995.77,0.0160,0,1.0000,0.0000
4.9,9340209.68,0.0138,0,1.0000,0.0000
5.0,9205771.70,0.0103,0,1.0000,0.0000
5.1,9589035.70,0.0178,1,0.9990,0.0010
5.2,9031823.13,0.0179,2,0.9980,0.0020
5.3,9859614.02,0.0169,0,1.0000,0.0000
5.4,9262279.08,0.0147,2,0.9980,0.0020
5.5,9981055.50,0.0102,0,1.0000,0.0000
5.6,9489751.36,0.0123,0,1.0000,0.0000
5.7,9883245.38,0.0175,0,1.0000,0.0000
5.8,9641198.17,0.0166,2,0.9980,0.0020
5.9,9556035.62,0.0193,0,1.0000,0.0000
6.0,9596903.80,0.0105,0,1.0000,0.0000
6.1,9770011.25,0.0106,1,0.9990,0.0010
6.2,9225061.23,0.0126,0,1.0000,0.0000
6.3,9079184.13,0.0117,2,0.9980,0.0020
6.4,9968262.43,0.0166,2,0.9980,0.0020
6.5,9082082.28,0.0119,1,0.9990,0.0010
6.6,9069196.46,0.0150,0,1.0000,0.0000
6.7,9147296.13,0.0142,1,0.9990,0.0010
6.8,9117903.17,0.0182,2,0.9980,0.0020
6.9,9605160.51,0.0110,2,0.9980,0.0020
7.0,9230288.50,0.0124,0,1.0000,0.0000
7.1,9618620.45,0.0177,0,1.0000,0.0000
7.2,9662131.37,0.0163,2,0.9980,0.0020
7.3,9709175.46,0.0161,0,1.0000,0.0000
7.4,9647980.77,0.0195,2,0.9980,0.0020
7.5,9075194.07,0.0149,0,1.0000,0.0000
7.6,9724395.52,0.0185,2,0.9980,0.0020
7.7,9764205.51,0.0114,1,0.9990,0.0010
7.8,9632035.60,0.0169,0,1.0000,0.0000
7.9,9150427.35,0.0140,2,0.9980,0.0020
8.0,9262371.92,0.0137,0,1.0000,0.0000
8.1,9380567.54,0.0152,1,0.9990,0.0010
8.2,9222569.25,0.0184,0,1.0000,0.0000
8.3,9348277.81,0.0195,1,0.9990,0.0010
8.4,9982259.63,0.0143,2,0.9980,0.0020
8.5,9109885.71,0.0113,1,0.9990,0.0010
8.6,9340474.52,0.0171,0,1.0000,0.0000
8.7,9711377.09,0.0142,0,1.0000,0.0000
8.8,9304588.97,0.0144,0,1.0000,0.0000
8.9,9643310.57,0.0101,0,1.0000,0.0000
9.0,9222518.46,0.0123,0,1.0000,0.0000
9.1,9562444.13,0.0174,0,1.0000,0.0000
9.2,9186637.13,0.0126,1,0.9990,0.0010
9.3,9920563.44,0.0175,0,1.0000,0.0000
9.4,9591553.61,0.0191,2,0.9980,0.0020
9.5,9165798.27,0.0178,0,1.0000,0.0000
9.6,9639168.73,0.0139,2,0.9980,0.0020
9.7,9934539.28,0.0115,2,0.9980,0.0020
9.8,9651187.78,0.0138,2,0.9980,0.0020
9.9,9972825.29,0.0134,2,0.9980,0.0020
10.0,9198120.08,0.0139,1,0.9990,0.0010
