Time	RTT	Throughput
0.1	0.0144	9105137.97
0.2	0.0118	9586962.32
0.3	0.0169	9553273.11
0.4	0.0120	9147960.78
0.5	0.0144	9848299.59
0.6	0.0197	9421261.28
0.7	0.0182	9193152.36
0.8	0.0185	9773072.52
0.9	0.0114	9533707.56
1.0	0.0149	9493323.72
1.1	0.0199	9451082.90
1.2	0.0169	9487326.12
1.3	0.0139	9983691.28
1.4	0.0180	9634245.03
1.5	0.0106	9888710.00
1.6	0.0137	9142650.37
1.7	0.0101	9465794.97
1.8	0.0151	9642029.43
1.9	0.0188	9561128.45
2.0	0.0105	9402774.62
2.1	0.0123	9553876.24
2.2	0.0109	9617682.77
2.3	0.0103	9042963.25
2.4	0.0124	9487452.16
2.5	0.0117	9142759.33
2.6	0.0186	9109817.32
2.7	0.0169	9056494.87
2.8	0.0171	9100042.32
2.9	0.0124	9436867.30
3.0	0.0188	9049321.16
3.1	0.0128	9623528.51
3.2	0.0198	9075396.56
3.3	0.0128	9053796.14
3.4	0.0176	9455958.86
3.5	0.0184	9073064.85
3.6	0.0143	9962412.05
3.7	0.0124	9662487.63
3.8	0.0125	9874962.59
3.9	0.0116	9741503.68
4.0	0.0145	9727823.95
4.1	0.0196	9538936.19
4.2	0.0116	9630218.67
4.3	0.0118	9923897.53
4.4	0.0150	9192488.35
4.5	0.0176	9062161.78
4.6	0.0148	9171062.04
4.7	0.0103	9127157.67
4.8	0.0101	9963972.36
4.9	0.0114	9666090.46
5.0	0.0187	9403103.31
5.1	0.0200	9625194.93
5.2	0.0113	9321572.57
5.3	0.0131	9009381.00
5.4	0.0175	9730214.80
5.5	0.0160	9408428.87
5.6	0.0166	9957327.85
5.7	0.0167	9544782.43
5.8	0.0109	9512372.92
5.9	0.0189	9842309.65
6.0	0.0185	9861588.63
6.1	0.0175	9515961.63
6.2	0.0176	9131113.20
6.3	0.0160	9136899.29
6.4	0.0182	9345534.16
6.5	0.0164	9901786.57
6.6	0.0188	9301899.87
6.7	0.0144	9165778.11
6.8	0.0157	9998955.28
6.9	0.0134	9343204.21
7.0	0.0107	9942030.42
7.1	0.0154	9645709.92
7.2	0.0158	9746195.54
7.3	0.0189	9826838.09
7.4	0.0127	9423849.12
7.5	0.0128	9666582.52
7.6	0.0113	9198816.20
7.7	0.0129	9719353.88
7.8	0.0135	9626493.31
7.9	0.0113	9298684.24
8.0	0.0130	9194836.53
8.1	0.0124	9102590.64
8.2	0.0120	9446859.02
8.3	0.0176	9400722.21
8.4	0.0182	9021530.90
8.5	0.0132	9679054.27
8.6	0.0162	9699903.26
8.7	0.0134	9241783.84
8.8	0.0153	9280981.93
8.9	0.0121	9505452.79
9.0	0.0192	9275470.77
9.1	0.0150	9145029.69
9.2	0.0144	9283144.52
9.3	0.0143	9273139.24
9.4	0.0147	9124064.19
9.5	0.0122	9829096.28
9.6	0.0183	9943646.00
9.7	0.0132	9420436.08
9.8	0.0147	9915514.67
9.9	0.0107	9845336.00
